,0
0,1556.8197410774167
1,1584.5985308568625
2,1895.0429138360403
3,1048.698513914501
4,748.5950292689408
5,1578.5114517210507
6,419.54363346012195
7,1656.5364118322254
8,927.2662534467875
9,749.029666651821
10,1998.1067993121649
11,1222.6501068266348
12,483.6476226991902
13,965.5902467520427
14,1842.8383844188238
15,1446.7899867548938
16,467.01932374564944
17,1716.5985432956627
18,550.3068283279894
19,1342.405140400769
20,1632.942750291438
21,302.9449362630892
22,980.975291535528
23,559.5424424444799
24,1085.8688550296336
25,352.2693642099414
26,929.5208478893146
27,728.1770626519933
28,552.3468243764801
29,339.98358688544323
30,534.9282790612797
31,864.1274327648284
32,1514.8842702534364
33,207.3076034446737
34,1289.1308074575747
35,9.205378735227253
36,1167.649966893592
37,745.9836931554013
38,1460.717809311173
39,739.772108551035
40,1714.0205631005808
41,628.4103040592402
42,960.5293725235751
43,1894.1889599511824
44,1300.1381505666684
45,1125.3140874418964
46,1009.9746901434446
47,1996.9533002250234
48,1054.6811834258283
49,1045.288721591923
50,1176.9365253759581
51,889.2465260360404
52,245.59482401676846
53,278.7392620795375
54,1601.8585949174817
55,1650.4354088872653
56,1268.4086380449914
57,410.7059761912768
58,886.2280338046978
59,241.1039943868515
60,278.3527373008063
61,1284.3197921526464
62,628.2999652851076
63,690.3524919302104
64,1610.2444855385986
65,210.42447594537015
66,135.58947220875342
67,824.7068318398218
68,152.2353122795151
69,425.58212158206527
70,615.3999152605849
71,1928.4377590529173
72,1966.1457948243008
73,710.4275289189922
74,1185.3899029957659
75,812.3848245911322
76,1074.7789382947317
77,69.19736306939355
78,1695.8618250796615
79,1335.4439906909704
80,1608.568802313862
81,692.2288549498843
82,349.2882702729086
83,1766.7784735099012
84,763.3839347425175
85,666.4321364295872
86,278.46195569019835
87,359.6165883062193
88,267.09352497110154
89,1073.809096688402
90,1758.0899111002202
91,1835.243039161048
92,1328.8338559777117
93,282.91855227052395
94,1407.2899730653955
95,1414.6955616287821
96,1506.5046564276563
97,1355.2902671513223
98,1035.410164671555
99,329.5863657030277
100,1497.288387928574
101,1243.9147552229465
102,1062.4179373511388
103,1207.2309555561224
104,1192.3551950438766
105,1586.7460710911141
106,364.775063606694
107,1017.3890222720863
108,1681.1870300990568
109,616.5824060769446
110,1382.1760288962666
111,1906.3645316135849
112,331.8715906090769
113,1742.1489012593167
114,573.4045875939239
115,1677.4195366375377
116,1242.8678778785932
117,1269.9620654963512
118,1067.4563486016125
119,91.69725925531431
120,1300.7837886077912
121,1668.984485200087
122,1206.4527033982743
123,92.90065283628417
124,876.5732378864891
125,1315.278599814792
126,110.65194860830147
127,1233.6073038749362
128,1099.0061709863855
129,1247.680446996599
130,1751.9884204262996
131,199.9039070842981
132,1923.4954189828331
133,977.3714958462475
134,1103.4064751465794
135,1778.9404141797647
136,326.0787047646215
137,119.11603069430554
138,1585.7515824612099
139,486.47137974361334
140,1518.7148406327526
141,867.5146097334576
142,1901.4249746681983
143,947.2965820163632
144,1155.5673162974892
145,1602.4379367533634
146,813.7427621621097
147,1803.648887836288
148,1588.8425914383158
149,664.9319490682232
150,1242.3706587851948
151,1448.4098761476037
152,459.26448604084516
153,1044.9547765271334
154,822.2966778903146
155,1448.7159304156417
156,445.33698125366317
157,207.5900229372794
158,400.060384574283
159,891.7715222038155
160,294.4591318636191
161,1760.4577266883878
162,666.5865951868471
